crop_name,variety_and_condition,nutrient,soil_level,recommendation_amount,unit
PARSNIP,,POTASSIUM,M,45,kg/ha
PARSNIP,,POTASSIUM,H,30,kg/ha
PATANI,,NITROGEN,L,45,kg/ha
PATANI,,NITROGEN,M,40,kg/ha
PATANI,,NITROGEN,H,65,kg/ha
PATANI,,PHOSPHORUS,L,60,kg/ha
PATANI,,PHOSPHORUS,M,35,kg/ha
PATANI,,PHOSPHORUS,H,20,kg/ha
PATANI,,POTASSIUM,L,60,kg/ha
PATANI,,POTASSIUM,M,45,kg/ha
PATANI,,POTASSIUM,H,30,kg/ha
PATOLA,,NITROGEN,L,90,kg/ha
PATOLA,,NITROGEN,M,60,kg/ha
PATOLA,,NITROGEN,H,30,kg/ha
PATOLA,,PHOSPHORUS,L,80,kg/ha
PATOLA,,PHOSPHORUS,M,50,kg/ha
PATOLA,,PHOSPHORUS,H,20,kg/ha
PATOLA,,POTASSIUM,L,60,kg/ha
PATOLA,,POTASSIUM,M,45,kg/ha
PATOLA,,POTASSIUM,H,30,kg/ha
PEAS,,NITROGEN,L,20,kg/ha
PEAS,,NITROGEN,M,10,kg/ha
PEAS,,NITROGEN,H,7,kg/ha
PEAS,,PHOSPHORUS,L,40,kg/ha
PEAS,,PHOSPHORUS,M,35,kg/ha
PEAS,,PHOSPHORUS,H,10,kg/ha
PEAS,,POTASSIUM,L,45,kg/ha
PEAS,,POTASSIUM,M,30,kg/ha
PEAS,,POTASSIUM,H,20,kg/ha
CARROT,,NITROGEN,L,90,kg/ha
CARROT,,NITROGEN,M,80,kg/ha
CARROT,,NITROGEN,H,70,kg/ha
CARROT,,PHOSPHORUS,L,90,kg/ha
CARROT,,PHOSPHORUS,M,60,kg/ha
CARROT,,PHOSPHORUS,H,30,kg/ha
CARROT,,POTASSIUM,L,120,kg/ha
CARROT,,POTASSIUM,M,75,kg/ha
CARROT,,POTASSIUM,H,30,kg/ha
ONION,,NITROGEN,L,90,kg/ha
ONION,,NITROGEN,M,60,kg/ha
ONION,,NITROGEN,H,30,kg/ha
ONION,,PHOSPHORUS,L,80,kg/ha
ONION,,PHOSPHORUS,M,50,kg/ha
ONION,,PHOSPHORUS,H,20,kg/ha
ONION,,POTASSIUM,L,50,kg/ha
ONION,,POTASSIUM,M,30,kg/ha
ONION,,POTASSIUM,H,20,kg/ha
GARLIC,,NITROGEN,L,90,kg/ha
GARLIC,,NITROGEN,M,60,kg/ha
GARLIC,,NITROGEN,H,30,kg/ha
GARLIC,,PHOSPHORUS,L,80,kg/ha
GARLIC,,PHOSPHORUS,M,50,kg/ha
GARLIC,,PHOSPHORUS,H,20,kg/ha
GARLIC,,POTASSIUM,L,50,kg/ha
GARLIC,,POTASSIUM,M,30,kg/ha
GARLIC,,POTASSIUM,H,20,kg/ha
GINGER,Local,NITROGEN,L,40,kg/ha
GINGER,Local,NITROGEN,M,30,kg/ha
GINGER,Local,NITROGEN,H,20,kg/ha
GINGER,Local,PHOSPHORUS,L,60,kg/ha
GINGER,Local,PHOSPHORUS,M,35,kg/ha
GINGER,Local,PHOSPHorus,H,20,kg/ha
GINGER,Local,POTASSIUM,L,120,kg/ha
GINGER,Local,POTASSIUM,M,75,kg/ha
GINGER,Local,POTASSIUM,H,30,kg/ha
GINGER,Improved,NITROGEN,L,80,kg/ha
GINGER,Improved,NITROGEN,M,70,kg/ha
GINGER,Improved,NITROGEN,H,60,kg/ha
GINGER,Improved,PHOSPHORUS,L,60,kg/ha
GINGER,Improved,PHOSPHORUS,M,35,kg/ha
GINGER,Improved,PHOSPHORUS,H,20,kg/ha
GINGER,Improved,POTASSIUM,L,120,kg/ha
GINGER,Improved,POTASSIUM,M,75,kg/ha
GINGER,Improved,POTASSIUM,H,30,kg/ha
POTATO,,NITROGEN,L,80,kg/ha
POTATO,,NITROGEN,M,70,kg/ha
POTATO,,NITROGEN,H,60,kg/ha
POTATO,,PHOSPHORUS,L,60,kg/ha
POTATO,,PHOSPHORUS,M,35,kg/ha
POTATO,,PHOSPHORUS,H,20,kg/ha
POTATO,,POTASSIUM,L,90,kg/ha
POTATO,,POTASSIUM,M,60,kg/ha
POTATO,,POTASSIUM,H,30,kg/ha
RADISH/TURNIPS,,NITROGEN,L,90,kg/ha
RADISH/TURNIPS,,NITROGEN,M,80,kg/ha
RADISH/TURNIPS,,NITROGEN,H,70,kg/ha
RADISH/TURNIPS,,PHOSPHORUS,L,90,kg/ha
RADISH/TURNIPS,,PHOSPHORUS,M,60,kg/ha
RADISH/TURNIPS,,PHOSPHORUS,H,30,kg/ha
RADISH/TURNIPS,,POTASSIUM,L,120,kg/ha
RADISH/TURNIPS,,POTASSIUM,M,75,kg/ha
RADISH/TURNIPS,,POTASSIUM,H,30,kg/ha
ASPARAGUS,,NITROGEN,L,90,kg/ha
ASPARAGUS,,NITROGEN,M,60,kg/ha
ASPARAGUS,,NITROGEN,H,45,kg/ha
ASPARAGUS,,PHOSPHORUS,L,40,kg/ha
ASPARAGUS,,PHOSPHORUS,M,25,kg/ha
ASPARAGUS,,PHOSPHORUS,H,10,kg/ha
ASPARAGUS,,POTASSIUM,L,60,kg/ha
ASPARAGUS,,POTASSIUM,M,45,kg/ha
ASPARAGUS,,POTASSIUM,H,30,kg/ha
